,lat,lon,popdens
886,44.125,133.375,330.89
887,43.875,-79.625,708.59
888,43.875,-79.375,1220.71
889,43.875,-79.125,475.52
890,43.875,-78.875,1135.32
891,43.875,4.375,849.44
892,43.875,4.875,276.02
893,43.875,7.875,442.25
894,43.875,10.375,319.11
895,43.875,10.625,296.78
896,43.875,10.875,511.28
897,43.875,11.125,982.03
898,43.875,12.875,570.04
899,43.875,26.125,382.54
900,43.875,46.625,355.78
901,43.875,47.625,426.5
902,43.875,125.125,256.71
903,43.875,125.375,947.06
904,43.875,125.625,947.06
905,43.875,126.375,442.25
906,43.875,126.625,1573.44
907,43.875,143.875,266.19
908,43.625,-116.625,475.52
909,43.625,-116.375,635.55
910,43.625,-93.375,382.54
911,43.625,-79.875,683.35
912,43.625,-79.625,2521.01
913,43.625,-79.375,7215.52
914,43.625,-70.375,343.11
915,43.625,-7.375,530.16
916,43.625,1.375,947.06
917,43.625,3.875,2614.1
918,43.625,4.125,426.5
919,43.625,5.125,411.31
920,43.625,6.875,330.89
921,43.625,10.375,458.58
922,43.625,10.625,549.74
923,43.625,10.875,256.71
924,43.625,13.375,913.33
925,43.625,16.125,3133.74
926,43.625,51.125,319.11
927,43.625,125.375,849.44
928,43.625,125.625,947.06
929,43.625,125.875,511.28
930,43.625,142.375,475.52
931,43.375,-80.375,319.11
932,43.375,-79.875,790.02
933,43.375,-5.875,1018.3
934,43.375,-1.875,683.35
935,43.375,-1.625,368.92
936,43.375,-0.375,1135.32
937,43.375,3.125,411.31
938,43.375,5.125,549.74
939,43.375,5.375,3249.46
940,43.375,5.625,276.02
941,43.375,13.625,442.25
942,43.375,16.375,635.55
943,43.375,45.625,1312.53
944,43.375,52.875,330.89
945,43.125,-89.375,493.08
946,43.125,-77.625,2810.73
947,43.125,-76.125,819.19
948,43.125,-70.875,307.74
949,43.125,-2.625,659.02
950,43.125,5.875,511.28
951,43.125,6.125,396.67
952,43.125,12.375,330.89
953,43.125,13.625,266.19
954,43.125,27.875,1018.3
955,43.125,124.375,511.28
956,43.125,129.375,458.58
957,43.125,129.625,426.5
958,43.125,141.375,3756.67
959,43.125,141.625,442.25
960,42.875,-106.375,343.11
961,42.875,-85.875,330.89
962,42.875,-85.625,1312.53
963,42.875,-81.125,266.19
